Fjord_ID,Fjord_Latitude,Fjord_Longitude,Glacier_ID,Glacier_Point_Latitude,Glacier_Point_Longitude,Fjord_Area_km2,Fjord_Mouth_Length_km,MaxDepth_m_Bedmachine_v5,MeanDepth_m_Bedmachine_v5,Depth_StdDev_m_Bedmachine_v5,FjordMouth1kmBuffer_MaxDepth_m_Bedmachine_v5,FjordMouth1kmBuffer_MeanDepth_m_Bedmachine_v5,FjordMouth1kmBuffer_Depth_StdDev_m_Bedmachine_v5,FjordMouth2kmBuffer_MaxDepth_m_Bedmachine_v5,FjordMouth2kmBuffer_MeanDepth_m_Bedmachine_v5,FjordMouth2kmBuffer_Depth_StdDev_m_Bedmachine_v5,Mankoff_Glacier_ID,Median,Fjord_Cumulative_Solid_Ice_Discharge_Gt_2015_2019,Fjord_Cumulative_Solid_Ice_Discharge_Error_Gt_2015_2019,Median,Fjord_Mean_Annual_Solid_Ice_Discharge_GtPerYr_2015_2019 updated,Fjord_Mean_Annual_Solid_Ice_Discharge_GtPerYr_2015_2019,Fjord_Mean_Annual_Solid_Ice_Discharge_Error_GtPerYr_2015_2019,Median,Fjord_Mean_Hydroyear_Discharge_GtPerYr Updated,Fjord_Mean_Hydroyear_Discharge_GtPerYr,Fjord_Mean_Hydroyear_Discharge_Error_GtPerYr,Median,Fjord_Mean_Winter_Discharge_GtPerYr updated,Fjord_Mean_Winter_Discharge_GtPerYr,Fjord_Mean_Winter_Discharge_Error_GtPerYr,Median,Fjord_Mean_Spring_Discharge_GtPerYr Updated,Fjord_Mean_Spring_Discharge_GtPerYr,Fjord_Mean_Spring_Discharge_Error_GtPerYr,Median,Fjord_Mean_Summer_Discharge_GtPerYr Updated,Fjord_Mean_Summer_Discharge_GtPerYr,Fjord_Mean_Summer_Discharge_Error_GtPerYr,Median ,Autumn Updated,Fjord_Mean_Autumn_Discharge_GtPerYr,Fjord_Mean_Autumn_Discharge_Error_GtPerYr,Median,Glacier_Cumulative_Solid_Ice_Discharge_Gt_2015_2019 Updated,Glacier_Cumulative_Solid_Ice_Discharge_Gt_2015_2019,Glacier_Cumulative_Solid_Ice_Discharge_Error_Gt_2015_2019,Median,Glacier_Mean_Annual_Solid_Ice_Discharge_GtPerYr_2015_2019 Updated,Glacier_Mean_Annual_Solid_Ice_Discharge_GtPerYr_2015_2019,Glacier_Mean_Annual_Solid_Ice_Discharge_Error_GtPerYr_2015_2019,Median,Hydroyear Updated,Glacier_Mean_Hydroyear_Discharge_GtPerYr,Glacier_Mean_Hydroyear_Discharge_Error_GtPerYr,Median,Winter Updated,Glacier_Mean_Winter_Discharge_GtPerYr,Glacier_Mean_Winter_Discharge_Error_GtPerYr,Median,Spring Update,Glacier_Mean_Spring_Discharge_GtPerYr,Glacier_Mean_Spring_Discharge_Error_GtPerYr,Median ,Summer Updated,Glacier_Mean_Summer_Discharge_GtPerYr,Glacier_Mean_Summer_Discharge_Error_GtPerYr,Median,Autumn Updated,Glacier_Mean_Autumn_Discharge_GtPerYr,Glacier_Mean_Autumn_Discharge_Error_GtPerYr,Cumulative_FWF_m3_MAR,AnnualMean_FWF_m3_MAR,Mean_Winter_FWF_m3_MAR,Mean_Spring_FWF_m3_MAR,Mean_Summer_FWF_m3_MAR,Mean_Autumn_FWF_m3_MAR
8,68.863021,-25.971615,137,68.875244,-26.1329,180.61,39.59,115.4811,8.591544,24.83485,21.70246,2.832895,5.059976,34.907345,5.57389,7.606237,,32.61,0.53,0.168,6.952,0.105,0.105,0.034,6.9705,0.105,0.105,0.034,6.981,0.104,0.104,0.034,7.096,0.102,0.102,0.033,6.7965,0.106,0.106,0.034,6.828,0.109,0.109,0.035,5.5655,5.413,,,1.113,1.082,,,1.116,1.088,,,1.13,1.074,,,1.1145,1.081,,,1.105,1.094,,,1.111,1.08,,,1.01E+10,2.01E+09,40807470,77387473,1.59E+09,3.01E+08
9,68.709491,-27.002066,139,68.790227,-27.0366,73.83,8.44,238.6369,27.48667,98.23142,136.3801,40.1776,39.33582,206.634018,45.02661,45.76194,,32.61,32.61,,7.173,6.1025,,,7.223,6.22,,,7.171,6.366,,,7.177,6.1785,,,7.006,5.9795,,,7.146,6.0615,,,5.5655,5.413,,,1.113,1.082,,,1.116,1.088,,,1.13,1.074,,,1.1145,1.081,,,1.105,1.094,,,1.111,1.08,,,9.23E+09,1.85E+09,27947434,85851960,1.50E+09,2.27E+08
10,68.609612,-27.257675,140,68.642316,-27.3944,45.28,7.44,217.6554,73.62613,64.24737,111.9633,49.42291,32.87875,164.803513,55.0316,40.03472,,32.61,32.61,,7.173,6.1025,,,7.223,6.22,,,7.171,6.366,,,7.177,6.1785,,,7.006,5.9795,,,7.146,6.0615,,,5.5655,5.413,,,1.113,1.082,,,1.116,1.088,,,1.13,1.074,,,1.1145,1.081,,,1.105,1.094,,,1.111,1.08,,,1.31E+09,2.63E+08,7573134,20333171,1.93E+08,41952461
11,68.560489,-27.588408,141,68.64591,-27.5289,92.57,12.22,163.3793,53.41243,51.79576,153.4947,58.60457,51.38078,163.379333,59.01179,52.48308,,32.61,32.61,,7.173,6.1025,,,7.223,6.22,,,7.171,6.366,,,7.177,6.1785,,,7.006,5.9795,,,7.146,6.0615,,,5.5655,5.413,,,1.113,1.082,,,1.116,1.088,,,1.13,1.074,,,1.1145,1.081,,,1.105,1.094,,,1.111,1.08,,,8.80E+08,1.76E+08,10616111,17594426,1.14E+08,33424469
12,68.551358,-27.994236,142,68.623748,-28.0809,75.95,7.9,184.9047,49.44215,56.76552,122.7429,47.91103,35.495,168.976212,47.47114,40.07913,181,32.61,1.59,0.323,7.173,0.319,0.319,0.067,7.223,0.326,0.326,0.069,7.171,0.379,0.379,0.082,7.177,0.325,0.325,0.067,7.006,0.286,0.286,0.059,7.146,0.302,0.302,0.063,5.5655,1.594,1.594,0.323,1.113,0.319,0.319,0.067,1.116,0.326,0.326,0.069,1.13,0.379,0.379,0.082,1.1145,0.325,0.325,0.067,1.105,0.286,0.286,0.059,1.111,0.302,0.302,0.063,7.01E+09,1.40E+09,22811025,43753913,1.19E+09,1.44E+08
13,68.416863,-28.593143,145,68.424712,-28.817,101.8,24.36,58.17772,4.044753,12.55145,46.00691,13.06705,13.97971,65.605469,16.22244,16.75431,185,33.14,2.8,0.313,7.173,0.559,0.559,0.063,7.223,0.556,0.556,0.063,7.171,0.577,0.577,0.067,7.177,0.581,0.581,0.065,7.006,0.533,0.533,0.059,7.146,0.543,0.543,0.062,5.571,0.672,0.672,0.168,1.114,0.134,0.134,0.034,1.12,0.134,0.134,0.034,1.135,0.142,0.142,0.036,1.132,0.139,0.139,0.035,1.108,0.121,0.121,0.031,1.139,0.135,0.135,0.034,9.85E+09,1.97E+09,35205892,73983269,1.59E+09,2.69E+08
13,68.416863,-28.593143,144,68.448803,-28.6609,101.8,24.36,58.17772,4.044753,12.55145,46.00691,13.06705,13.97971,65.605469,16.22244,16.75431,183,33.67,2.8,0.313,7.173,0.559,0.559,0.063,7.223,0.556,0.556,0.063,7.171,0.577,0.577,0.067,7.177,0.581,0.581,0.065,7.006,0.533,0.533,0.059,7.146,0.543,0.543,0.062,5.6395,2.126,2.126,0.263,1.1275,0.425,0.425,0.053,1.135,0.422,0.422,0.053,1.149,0.436,0.436,0.056,1.1355,0.442,0.442,0.054,1.1195,0.412,0.412,0.051,1.1425,0.408,0.408,0.051,9.85E+09,1.97E+09,35205892,73983269,1.59E+09,2.69E+08
13,68.416863,-28.593143,143,68.490506,-28.4793,101.8,24.36,58.17772,4.044753,12.55145,46.00691,13.06705,13.97971,65.605469,16.22244,16.75431,,33.67,2.8,0.313,7.173,0.559,0.559,0.063,7.223,0.556,0.556,0.063,7.171,0.577,0.577,0.067,7.177,0.581,0.581,0.065,7.006,0.533,0.533,0.059,7.146,0.543,0.543,0.062,5.708,5.413,,,1.141,1.082,,,1.15,1.088,,,1.163,1.074,,,1.139,1.081,,,1.131,1.094,,,1.146,1.08,,,9.85E+09,1.97E+09,35205892,73983269,1.59E+09,2.69E+08
14,68.379753,-29.110077,146,68.464545,-29.2442,80.46,9.31,199.6132,57.83828,54.05903,106.1575,36.46138,28.25134,148.691299,38.85908,32.61871,186,33.67,0.15,0.024,7.173,0.03,0.03,0.005,7.223,0.029,0.029,0.005,7.171,0.034,0.034,0.006,7.177,0.031,0.031,0.005,7.006,0.025,0.025,0.004,7.146,0.028,0.028,0.005,5.708,0.15,0.15,0.024,1.141,0.03,0.03,0.005,1.15,0.029,0.029,0.005,1.163,0.034,0.034,0.006,1.139,0.031,0.031,0.005,1.131,0.025,0.025,0.004,1.146,0.028,0.028,0.005,2.51E+09,5.01E+08,13822227,33097962,3.65E+08,89210790
15,68.292505,-29.889452,147,68.382224,-30.1216,374.75,24.35,484.525,170.7916,138.1149,489.84,124.178,171.9518,490.239624,134.1381,172.599,187_189,34.91,19.31,1.058,7.1995,3.859,3.859,0.213,7.2455,3.831,3.831,0.212,7.171,3.805,3.805,0.208,7.177,3.908,3.908,0.218,7.1795,3.975,3.975,0.22,7.206,3.729,3.729,0.205,6.3765,19.306,19.306,1.058,1.2745,3.859,3.859,0.213,1.282,3.831,3.831,0.212,1.3015,3.805,3.805,0.208,1.2555,3.908,3.908,0.218,1.2635,3.975,3.975,0.22,1.2,3.729,3.729,0.205,2.44E+10,4.88E+09,66874879,1.58E+08,4.16E+09,4.93E+08
